Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,Loss_Flag,etl_timestamp,etl_version
2000,Kids,Training,SuperRep Go,M,2.0,6110.030000000001,0.47,12162.625718000001,2024-03-09,Online,Bangalore,-770.45,True,2025-10-11 00:05:53.713586,2.0
2001,Women,Soccer,Tiempo Legend,M,3.0,4957.93,0.0,14873.79,2024-07-09,Retail,Hyderabad,-112.53,True,2025-10-11 00:05:53.713586,2.0
2002,Women,Soccer,Premier III,M,4.0,6110.030000000001,0.0,24440.120000000003,2024-12-21,Retail,Mumbai,3337.34,False,2025-10-11 00:05:53.713586,2.0
2003,Kids,Lifestyle,Blazer Mid,L,2.0,9673.57,0.0,19347.14,2024-12-21,Online,Pune,3376.85,False,2025-10-11 00:05:53.713586,2.0
2004,Kids,Running,React Infinity,XL,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Retail,Delhi,187.89,False,2025-10-11 00:05:53.713586,2.0
2005,Women,Training,Flex Trainer,M,1.0,7363.96,0.0,7363.96,2024-12-21,Retail,Delhi,1415.98,False,2025-10-11 00:05:53.713586,2.0
2006,Men,Training,SuperRep Go,M,2.0,6819.78,0.0,13639.56,2024-12-21,Online,Bangalore,1802.09,False,2025-10-11 00:05:53.713586,2.0
2007,Kids,Training,SuperRep Go,M,1.0,6110.030000000001,0.32,6090.477904000001,2024-12-21,Retail,Bangalore,2928.36,False,2025-10-11 00:05:53.713586,2.0
2008,Women,Soccer,Premier III,11,1.0,6110.030000000001,0.0,6110.030000000001,2024-12-21,Online,Hyderabad,-731.18,True,2025-10-11 00:05:53.713586,2.0
2009,Men,Soccer,Mercurial Superfly,M,4.0,6110.030000000001,0.0,24440.120000000003,2024-12-21,Online,Pune,3929.61,False,2025-10-11 00:05:53.713586,2.0
2010,Kids,Lifestyle,Waffle One,L,1.0,7949.83,0.0,7949.83,2024-12-21,Online,Pune,1965.56,False,2025-10-11 00:05:53.713586,2.0
2011,Women,Training,Flex Trainer,L,1.0,9586.08,0.0,9586.08,2024-12-21,Retail,Hyderabad,1667.08,False,2025-10-11 00:05:53.713586,2.0
2018,Kids,Lifestyle,Blazer Mid,L,1.0,6110.030000000001,0.86,6057.483742,2024-12-21,Online,Delhi,2109.48,False,2025-10-11 00:05:53.713586,2.0
2013,Kids,Training,SuperRep Go,L,2.0,9671.05,0.0,19342.1,2024-12-21,Online,Hyderabad,299.34,False,2025-10-11 00:05:53.713586,2.0
2014,Women,Running,React Infinity,11,2.0,6110.030000000001,0.0,12220.060000000001,2025-04-12,Online,Bangalore,-1044.4,True,2025-10-11 00:05:53.713586,2.0
2015,Kids,Basketball,Air Jordan,L,2.0,3285.52,0.0,6571.04,2024-12-21,Retail,Kolkata,1193.21,False,2025-10-11 00:05:53.713586,2.0
2016,Women,Basketball,Air Jordan,M,1.0,9871.75,0.3,9842.13475,2024-12-21,Retail,Hyderabad,2452.69,False,2025-10-11 00:05:53.713586,2.0
